label,text
spam,"Congratulations! You have been selected to receive a $1,000 gift card. Click here to claim now."
spam,"URGENT: Your account will be suspended unless you verify your information within 24 hours. Verify here."
spam,"Buy cheap prescription drugs online — no prescription required. Limited stock, order today!"
spam,"You won a free cruise! Call 1-800-FREE-CRUISE to claim your prize."
spam,"Lowest mortgage rates available — refinance today and save up to $500/mo. Apply now!"
spam,"Work from home and earn $200/day — no experience necessary. Sign up for instant access."
spam,"Get a refund of your taxes now. Provide your bank details to release funds."
spam,"This is not spam. Transfer $5,000 to confirm identity and receive $50,000 back."
spam,"Exclusive offer: 90% off designer handbags for 48 hours only. Shop now!"
spam,"Act fast! Your invoice is unpaid and your service will be disconnected. View invoice: [link]"
spam,"Congratulations, your device is infected. Click link to download the removal tool."
spam,"Limited-time loan approval — no credit check. Pre-approve in 2 minutes."
spam,"Earn bitcoin by completing short surveys — payout guaranteed. Join here."
spam,"Hot singles in your area are waiting — see who viewed your profile."
spam,"Free iPhone giveaway for respondents to this survey — limited winners. Enter now!"
spam,"Get access to our premium streaming library for $0.99/month — unsubscribe anytime."
spam,"Unlock exclusive crypto signals — double your portfolio in 7 days. Subscribe now!"
spam,"Is your student loan eligible for forgiveness? Click to see if you qualify."
spam,"Private video of you found — pay $800 to remove it or we release it to contacts."
spam,"Congratulations! Your PayPal account received $500. Click here to view transaction."
ham,"Hi Sam — can we move our meeting to 3pm tomorrow? I have a conflict at 2."
ham,"FYI: The quarterly report draft is attached. Please leave comments by Friday."
ham,"Happy birthday! Hope you have an amazing day — let's catch up soon."
ham,"Your Amazon order #12345 has shipped and will arrive on Monday."
ham,"Lunch at the new cafe on High Street? I’m free after 12:30."
ham,"Reminder: Team stand-up at 09:15 in Zoom room A. Bring status updates."
ham,"Thanks for the quick reply. That solution fixed the issue — much appreciated!"
ham,"Invoice for consulting services attached. Please confirm receipt and payment terms."
ham,"Your flight to Madrid is confirmed for 10 July. Boarding begins 09:00."
ham,"Can you review the PR when you have a minute? It's small and related to the header."
ham,"Family photo from the weekend attached — the kids had so much fun!"
ham,"Subscription renewal reminder: Your magazine subscription renews on 01-November."
ham,"Congrats on the promotion! Well deserved — let’s celebrate this Friday."
ham,"Heads up: Roadworks on Elm Street may delay your commute by 15 minutes."
ham,"I've shared the Google Doc with you — edit permissions granted for the team."
ham,"Refund complete: We processed your return and refunded $29.99 to your card."
ham,"Are you joining the conference call today? Dial-in details were sent earlier."
ham,"Thanks for the feedback on the draft. I updated the intro and resubmitted."
ham,"Can you pick up milk on your way home? Running low here."
ham,"Meeting notes from today: action items assigned, deadlines set — see attached."